timestamp,total_usdt,trades_this_hour,unique_coins_traded,win_rate,avg_trade_size,daily_loss
2025-08-11T00:02:14.243895,168.4502,125,15,0.928,11337.7533,0.0
2025-08-11T01:04:15.897003,168.1267,164,17,0.841,6715.3457,94.4723
2025-08-11T02:03:26.811181,170.6377,180,18,0.792,7913.2836,60.6564
2025-08-11T03:00:02.568493,171.6879,172,19,0.754,4502.4055,782.2822
2025-08-11T04:00:22.512201,171.5854,186,20,0.67,4171.172,1424.2595
2025-08-11T08:04:23.716369,169.2711,0,0,0,0,0.0
2025-08-11T09:04:44.737409,170.8826,0,0,0.769,2032.2269,0.0
2025-08-11T10:02:29.206055,169.734,0,0,0.0,5327.79,0.0
