timestamp,action,symbol,qty,price,fee,status,details,strategy
2025-08-11T09:30:53.288801,BUY,FDUSDUSDT,0.0,0.998,0.0,SKIPPED,"Condition not met: price=0.998, priceChange=-0.01, quoteVol=576297513.8941, baseVol=577341490.0",microcap_other
2025-08-11T09:30:59.618615,BUY,ENAUSDT,0.154,0.8275,0.000637175,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 28407289, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.827', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754893856934, 'paper': True}",microcap_pricechange
2025-08-11T09:31:02.703495,BUY,ENAUSDT,0.154,0.8275,0.000637175,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 62782742, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8271', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754893859977, 'paper': True}",microcap_pricechange
2025-08-11T09:31:05.853682,BUY,ENAUSDT,0.154,0.8275,0.000637175,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 75043716, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8276', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754893863101, 'paper': True}",microcap_pricechange
2025-08-11T09:31:08.811897,BUY,ENAUSDT,0.154,0.8275,0.000637175,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 34677637, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8276', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754893866177, 'paper': True}",microcap_pricechange
2025-08-11T09:31:11.691343,BUY,ENAUSDT,0.154,0.8275,0.000637175,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 99075945, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8277', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754893869129, 'paper': True}",microcap_pricechange
2025-08-11T09:31:18.493794,BUY,SUIUSDT,0.02,3.8569,0.00038569000000000006,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 89966946, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8569', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754893875912, 'paper': True}",microcap_volume
2025-08-11T09:31:21.435627,BUY,SUIUSDT,0.02,3.8569,0.00038569000000000006,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 10337406, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8578', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754893878835, 'paper': True}",microcap_volume
2025-08-11T09:31:24.327881,BUY,SUIUSDT,0.02,3.8569,0.00038569000000000006,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 35392823, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8574', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754893881785, 'paper': True}",microcap_volume
2025-08-11T09:31:27.218955,BUY,SUIUSDT,0.02,3.8569,0.00038569000000000006,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 91207886, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8583', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754893884651, 'paper': True}",microcap_volume
